,PC1,PC2
EXEC_TIME,0.5186824557075277,-0.30559368370840656
MSIZE,0.17423812550948592,-0.08541794087917873
BSIZE,0.4819534983782092,-0.13939028165281195
NUM_NODES,0.28171641856953855,0.6447004325511427
NUM_CPUS,0.28171641856953855,0.6447004325511428
INPUT_SIZE,0.5564190239179992,-0.22047523618532716
