,EXEC_TIME,MSIZE,BSIZE,NUM_NODES,NUM_CPUS,INPUT_SIZE
EXEC_TIME,1.0,0.43427942321446283,0.6155172313865986,0.14881420178302834,0.1488142017830282,0.8933388803500018
MSIZE,0.43427942321446283,1.0,-0.0755397393259306,0.1371196570733764,0.13711965707337656,0.5646842950968184
BSIZE,0.6155172313865986,-0.0755397393259306,1.0,0.20599648344543267,0.20599648344543292,0.5178091385316971
NUM_NODES,0.14881420178302834,0.1371196570733764,0.20599648344543267,1.0,1.0000000000000007,0.2677097317722504
NUM_CPUS,0.1488142017830282,0.13711965707337656,0.20599648344543292,1.0000000000000007,1.0,0.26770973177225066
INPUT_SIZE,0.8933388803500018,0.5646842950968184,0.5178091385316971,0.2677097317722504,0.26770973177225066,1.0
