,PC1,PC2
EXEC_TIME,0.4883803020042929,-0.36259535226075773
MSIZE,0.3034992499607895,-0.20062225871440645
BSIZE,0.3659192570231105,-0.15101335544940106
NUM_NODES,0.36359714837537627,0.6031266206900114
NUM_CPUS,0.36359714837537627,0.6031266206900113
INPUT_SIZE,0.5206440344550951,-0.279189622180397
