EXEC_TIME,MSIZE,BSIZE,CPUS_PER_NODE,NUM_NODES,NUM_CPUS,CPU_AVG,MEM_AVG,CPU_AVG_USED,MEM_AVG_USED
346,12,512,112,5,448,26.37,14.54,118.14,65.14
55,12,200,112,8,784,5.89,13.9,46.18,108.98
597,13,600,112,5,448,33.26,14.65,149.0,65.63
471,16,512,112,5,448,47.39,15.21,212.31,68.14
551,12,600,112,5,448,28.43,14.5,127.37,64.96
1897,17,800,112,4,336,48.0,16.03,161.28,53.86
3699,19,800,112,3,224,49.9,17.12,111.78,38.35
792,64,200,112,6,560,74.9,15.54,419.44,87.02
4691,13,1200,112,4,336,31.74,16.96,106.65,56.99
106,8,400,112,4,336,13.89,13.49,46.67,45.33
56,12,256,112,5,448,14.65,14.08,65.63,63.08
10152,48,600,112,6,560,79.4,17.13,444.64,95.93
4781,13,1200,112,16,1680,9.44,14.86,158.59,249.65
15,8,128,112,3,224,8.02,12.86,17.96,28.81
145,32,200,112,12,1232,25.92,14.76,319.33,181.84
2081,19,800,112,8,784,41.08,15.67,322.07,122.85
271,10,512,112,4,336,25.63,14.28,86.12,47.98
66,18,128,112,12,1232,4.29,13.85,52.85,170.63
404,14,512,112,3,224,72.18,15.41,161.68,34.52
65,8,200,112,12,1232,1.52,13.88,18.73,171.0
1256,12,800,112,3,224,17.62,14.74,39.47,33.02
12448,40,800,112,6,560,89.27,18.19,499.91,101.86
265,10,512,112,3,224,38.89,14.57,87.11,32.64
56,22,128,112,2,112,55.63,14.81,62.31,16.59
246,14,400,112,8,784,16.1,14.24,126.22,111.64
52,15,200,112,5,448,14.0,14.28,62.72,63.97
117,17,128,112,6,560,3.79,14.15,21.22,79.24
1912,50,400,112,12,1232,60.67,15.87,747.45,195.52
127,19,256,112,12,1232,13.44,13.91,165.58,171.37
2446,22,800,112,8,784,54.47,15.31,427.04,120.03
346,8,600,112,6,560,10.52,13.04,58.91,73.02
818,15,600,112,8,784,25.25,14.49,197.96,113.6
15291,50,800,112,12,1232,65.33,17.71,804.87,218.19
166,8,400,112,16,1680,2.98,13.89,50.06,233.35
2017,10,1000,112,6,560,17.35,14.66,97.16,82.1
2647,13,1000,112,3,224,70.05,18.74,156.91,41.98
126,8,400,112,8,784,5.53,13.98,43.36,109.6
130,20,256,112,12,1232,14.59,14.24,179.75,175.44
791,8,800,112,6,560,11.1,13.68,62.16,76.61
1491,14,800,112,3,224,78.96,17.8,176.87,39.87
2035,20,512,112,2,112,85.79,16.27,96.08,18.22
1651,15,800,112,8,784,26.12,14.94,204.78,117.13
26,15,128,112,2,112,35.71,14.45,40.0,16.18
453,19,400,112,3,224,46.94,15.64,105.15,35.03
4711,13,1200,112,8,784,20.21,15.62,158.45,122.46
5831,16,1200,112,5,448,53.72,18.56,240.67,83.15
26,15,128,112,4,336,13.21,13.82,44.39,46.44
38,12,200,112,4,336,17.8,13.36,59.81,44.89
3540,10,1200,112,16,1680,5.76,14.23,96.77,239.06
70,10,200,112,12,1232,3.5,13.32,43.12,164.1
293,19,400,112,8,784,35.04,14.44,274.71,113.21
21,14,128,112,3,224,20.05,14.39,44.91,32.23
656,14,600,112,5,448,38.28,14.93,171.49,66.89
2690,30,600,112,6,560,72.34,16.64,405.1,93.18
96,20,200,112,12,1232,10.45,13.8,128.74,170.02
1066,20,512,112,4,336,54.86,15.8,184.33,53.09
176,13,400,112,3,224,60.12,15.38,134.67,34.45
14486,36,1000,112,12,1232,50.85,18.22,626.47,224.47
1522,14,800,112,5,448,39.17,15.6,175.48,69.89
30,20,128,112,3,224,37.11,14.16,83.13,31.72
509,16,512,112,12,1232,16.56,13.88,204.02,171.0
236,15,400,112,8,784,21.92,14.13,171.85,110.78
1316,12,800,112,8,784,16.41,14.76,128.65,115.72
1360,36,400,112,6,560,68.68,16.15,384.61,90.44
47,17,200,112,4,336,26.1,13.98,87.7,46.97
15,8,128,112,4,336,5.71,13.2,19.19,44.35
5629,15,1200,112,8,784,26.95,16.11,211.29,126.3
60,14,256,112,4,336,31.07,14.18,104.4,47.64
1556,8,1000,112,6,560,11.02,13.91,61.71,77.9
11,8,128,112,2,112,15.1,13.94,16.91,15.61
81,18,256,112,4,336,50.22,14.93,168.74,50.16
3573,17,1000,112,3,224,76.66,18.89,171.72,42.31
1671,22,128,112,6,560,1.08,14.96,6.05,83.78
806,17,600,112,4,336,48.33,15.47,162.39,51.98
41,10,256,112,3,224,22.95,13.77,51.41,30.84
517,64,200,112,12,1232,54.15,15.09,667.13,185.91
248,17,400,112,4,336,67.44,15.38,226.6,51.68
26,13,128,112,5,448,6.68,13.91,29.93,62.32
1397,13,800,112,8,784,19.33,14.71,151.55,115.33
231,20,256,112,2,112,76.38,15.73,85.55,17.62
971,36,400,112,12,1232,44.83,15.91,552.31,196.01
172,12,400,112,4,336,33.39,13.94,112.19,46.84
741,16,600,112,4,336,40.43,15.37,135.84,51.64
6301,30,800,112,6,560,74.58,17.56,417.65,98.34
4671,22,1000,112,6,560,78.97,18.99,442.23,106.34
95,24,200,112,5,448,40.11,15.21,179.69,68.14
30,18,128,112,2,112,48.08,15.65,53.85,17.53
120,18,256,112,12,1232,12.22,13.61,150.55,167.68
346,12,256,112,6,560,2.57,13.87,14.39,77.67
116,18,256,112,3,224,55.18,14.91,123.6,33.4
10984,36,800,112,6,560,74.09,17.63,414.9,98.73
76,17,256,112,4,336,45.52,13.96,152.95,46.91
366,30,200,112,2,112,79.95,15.29,89.54,17.12
75,19,128,112,12,1232,3.79,13.8,46.69,170.02
10751,50,600,112,6,560,84.73,17.3,474.49,96.88
4393,12,1200,112,4,336,40.27,17.12,135.31,57.52
245,13,400,112,16,1680,7.32,13.97,122.98,234.7
651,13,512,112,2,112,70.61,16.27,79.08,18.22
206,8,512,112,4,336,16.36,13.34,54.97,44.82
96,8,400,112,2,112,42.41,14.18,47.5,15.88
111,17,256,112,3,224,49.55,14.89,110.99,33.35
86,22,200,112,8,784,21.82,14.39,171.07,112.82
70,16,256,112,4,336,40.6,13.82,136.42,46.44
4426,22,800,112,4,336,68.72,17.75,230.9,59.64
4973,36,400,112,2,112,93.79,16.41,105.04,18.38
76,16,256,112,5,448,28.81,14.49,129.07,64.92
61,14,200,112,8,784,8.7,13.98,68.21,109.6
4343,12,1200,112,3,224,60.58,18.8,135.7,42.11
247,16,400,112,8,784,24.6,14.24,192.86,111.64
31,18,128,112,3,224,27.22,14.14,60.97,31.67
1540,14,800,112,16,1680,10.48,14.25,176.06,239.4
16,13,128,112,3,224,17.26,13.73,38.66,30.76
71,12,256,112,2,112,51.15,15.14,57.29,16.96
1206,16,512,112,2,112,74.51,16.43,83.45,18.4
5502,15,1200,112,3,224,52.59,18.62,117.8,41.71
1597,15,800,112,3,224,50.57,16.12,113.28,36.11
50,10,200,112,8,784,3.61,14.22,28.3,111.48
711,15,600,112,4,336,32.47,15.05,109.1,50.57
66,14,256,112,5,448,21.39,13.96,95.83,62.54
1377,13,800,112,4,336,30.71,15.55,103.19,52.25
852,17,600,112,8,784,30.44,14.34,238.65,112.43
1431,13,800,112,16,1680,9.1,14.48,152.88,243.26
35,8,256,112,3,224,13.25,13.4,29.68,30.02
748,16,600,112,5,448,50.15,15.35,224.67,68.77
5951,24,600,112,2,112,85.6,16.31,95.87,18.27
186,12,400,112,8,784,13.31,13.94,104.35,109.29
58,17,200,112,5,448,24.77,14.12,110.97,63.26
201,8,512,112,2,112,49.73,14.36,55.7,16.08
1201,24,600,112,12,1232,38.62,14.75,475.8,181.72
3145,64,200,112,2,112,94.04,15.28,105.32,17.11
1881,22,600,112,4,336,67.19,16.66,225.76,55.98
56,13,256,112,4,336,25.19,13.95,84.64,46.87
195,10,400,112,16,1680,4.71,13.76,79.13,231.17
151,22,256,112,5,448,40.07,14.19,179.51,63.57
2256,20,800,112,8,784,44.24,15.6,346.84,122.3
4297,20,1000,112,12,1232,29.56,15.12,364.18,186.28
1282,12,800,112,6,560,23.3,14.46,130.48,80.98
5197,14,1200,112,4,336,53.8,18.8,180.77,63.17
721,15,512,112,3,224,50.61,15.84,113.37,35.48
596,12,512,112,2,112,61.19,16.1,68.53,18.03
76,22,200,112,6,560,33.14,14.08,185.58,78.85
1563,40,400,112,6,560,82.42,16.21,461.55,90.78
2468,12,1000,112,5,448,30.22,15.6,135.39,69.89
47,10,200,112,6,560,6.5,13.46,36.4,75.38
645,12,600,112,16,1680,7.26,14.04,121.97,235.87
7151,32,1000,112,12,1232,72.91,18.92,898.25,233.09
40,10,200,112,6,560,11.11,13.22,62.22,74.03
6791,18,1200,112,8,784,37.77,17.39,296.12,136.34
91,20,256,112,5,448,48.16,13.81,215.76,61.87
3672,32,400,112,2,112,89.69,16.14,100.45,18.08
496,17,512,112,5,448,53.5,15.49,239.68,69.4
358,8,600,112,8,784,7.09,14.09,55.59,110.47
1085,20,512,112,3,224,80.85,16.16,181.1,36.2
181,13,400,112,4,336,26.47,14.64,88.94,49.19
30,10,128,112,6,560,4.36,13.43,24.42,75.21
201,13,400,112,8,784,15.72,14.06,123.24,110.23
397,8,600,112,16,1680,3.53,13.83,59.3,232.34
27,12,200,112,3,224,24.66,14.11,55.24,31.61
3107,50,400,112,6,560,81.15,16.31,454.44,91.34
504,10,600,112,16,1680,5.33,13.84,89.54,232.51
6868,40,400,112,2,112,93.57,16.78,104.8,18.79
416,50,200,112,6,560,68.12,15.44,381.47,86.46
1111,40,400,112,12,1232,52.98,15.9,652.71,195.89
276,10,512,112,5,448,19.18,14.3,85.93,64.06
546,32,400,112,12,1232,57.58,15.33,709.39,188.87
216,8,512,112,5,448,11.97,14.08,53.63,63.08
1761,16,800,112,4,336,40.63,15.99,136.52,53.73
51,13,256,112,3,224,43.61,14.48,97.69,32.44
36,8,200,112,6,560,3.25,12.65,18.2,70.84
126,15,256,112,2,112,58.12,15.42,65.09,17.27
3078,30,400,112,2,112,87.58,15.84,98.09,17.74
95,12,200,112,16,1680,3.23,13.66,54.26,229.49
6605,30,1000,112,12,1232,65.02,18.31,801.05,225.58
392,48,200,112,6,560,64.51,15.35,361.26,85.96
50,12,256,112,4,336,22.51,13.84,75.63,46.5
586,13,600,112,4,336,29.87,15.1,100.36,50.74
530,18,512,112,4,336,79.87,15.68,268.36,52.68
60,15,200,112,8,784,11.06,14.2,86.71,111.33
1651,32,600,112,12,1232,66.89,16.28,824.08,200.57
100,14,200,112,16,1680,4.07,13.89,68.38,233.35
3134,36,600,112,12,1232,49.7,16.45,612.3,202.66
52,16,200,112,5,448,25.21,14.13,112.94,63.3
2487,12,1000,112,4,336,39.76,16.14,133.59,54.23
80,19,200,112,8,784,16.06,14.08,125.91,110.39
1081,15,512,112,2,112,68.73,16.41,76.98,18.38
186,13,400,112,5,448,30.01,14.22,134.44,63.71
461,10,600,112,8,784,11.3,14.52,88.59,113.84
2468,12,1000,112,6,560,24.13,15.75,135.13,88.2
585,24,400,112,6,560,47.79,15.17,267.62,84.95
35,12,128,112,6,560,4.95,13.53,27.72,75.77
1021,10,800,112,4,336,27.8,14.46,93.41,48.59
201,8,512,112,3,224,24.75,14.05,55.44,31.47
36,13,200,112,3,224,38.42,14.46,86.06,32.39
276,18,400,112,8,784,31.64,14.35,248.06,112.5
410,14,512,112,5,448,35.67,14.66,159.8,65.68
803,17,600,112,5,448,55.8,15.56,249.98,69.71
938,64,200,112,5,448,79.14,14.97,354.55,67.07
4755,22,1000,112,8,784,55.7,17.11,436.69,134.14
110,24,200,112,12,1232,14.63,14.04,180.24,172.97
1595,8,1000,112,16,1680,3.7,13.99,62.16,235.03
1548,28,512,112,4,336,,,,
370,13,512,112,4,336,41.98,14.95,141.05,50.23
4257,20,1000,112,12,1232,29.76,15.52,366.64,191.21
172,12,400,112,5,448,25.32,14.1,113.43,63.17
4267,20,1000,112,8,784,46.38,15.91,363.62,124.73
142,16,256,112,2,112,63.27,15.19,70.86,17.01
61,13,256,112,5,448,17.2,14.16,77.06,63.44
805,30,400,112,6,560,67.64,15.28,378.78,85.57
12426,30,1000,112,6,560,75.85,19.62,424.76,109.87
340,12,512,112,3,224,54.7,15.07,122.53,33.76
2671,13,1000,112,4,336,31.42,16.27,105.57,54.67
13157,32,600,112,2,112,91.1,17.97,102.03,20.13
7032,19,1200,112,8,784,42.93,17.59,336.57,137.91
1062,22,600,112,8,784,52.71,15.66,413.25,122.77
661,13,600,112,16,1680,8.65,14.08,145.32,236.54
236,40,200,112,6,560,61.06,14.77,341.94,82.71
101,20,200,112,12,1232,11.41,13.82,140.57,170.26
30,16,128,112,4,336,17.83,13.64,59.91,45.83
395,14,512,112,4,336,48.94,14.92,164.44,50.13
41,16,200,112,4,336,20.53,14.23,68.98,47.81
84,22,200,112,4,336,42.84,14.19,143.94,47.68
3133,15,1000,112,5,448,47.02,17.2,210.65,77.06
36,19,128,112,5,448,15.82,14.44,70.87,64.69
38,12,200,112,5,448,17.15,13.69,76.83,61.33
440,15,512,112,5,448,41.8,15.08,187.26,67.56
134,20,256,112,3,224,65.27,0.01,146.2,0.02
1006,20,600,112,8,784,41.66,15.11,326.61,118.46
1546,30,600,112,12,1232,58.89,15.9,725.52,195.89
2051,10,1000,112,12,1232,7.97,13.82,98.19,170.26
587,13,600,112,3,224,66.75,16.29,149.52,36.49
311,22,256,112,2,112,76.29,15.65,85.44,17.53
126,19,256,112,4,336,41.49,15.27,139.41,51.31
565,18,512,112,12,1232,21.22,13.54,261.43,166.81
556,19,512,112,5,448,66.99,15.98,300.12,71.59
2689,13,1000,112,8,784,19.89,15.14,155.94,118.7
601,13,600,112,8,784,18.86,14.38,147.86,112.74
3957,20,800,112,3,224,55.59,17.61,124.52,39.45
1848,17,800,112,8,784,32.54,15.81,255.11,123.95
5363,40,600,112,6,560,87.26,16.91,488.66,94.7
160,18,256,112,2,112,81.19,16.03,90.93,17.95
56,14,256,112,3,224,50.08,14.9,112.18,33.38
213,15,400,112,3,224,79.16,15.71,177.32,35.19
1726,16,800,112,8,784,29.55,15.09,231.67,118.31
9037,24,1200,112,12,1232,43.07,18.07,530.62,222.62
46,12,256,112,3,224,36.22,14.17,81.13,31.74
249,17,400,112,5,448,49.42,14.74,221.4,66.04
1987,18,800,112,8,784,36.53,15.41,286.4,120.81
31,14,128,112,5,448,6.91,13.72,30.96,61.47
101,16,256,112,3,224,44.4,14.95,99.46,33.49
1971,24,600,112,6,560,51.3,16.43,287.28,92.01
584,36,200,112,2,112,88.86,15.85,99.52,17.75
324,50,200,112,12,1232,41.72,15.06,513.99,185.54
1652,15,800,112,5,448,25.28,15.06,113.25,67.47
155,10,400,112,8,784,9.49,14.37,74.4,112.66
1408,18,512,112,2,112,90.6,17.26,101.47,19.33
5091,14,1200,112,5,448,40.97,17.27,183.55,77.37
37,8,256,112,4,336,9.18,13.04,30.84,43.81
30,8,128,112,5,448,3.53,13.21,15.81,59.18
1632,15,800,112,4,336,33.81,15.61,113.6,52.45
25,15,128,112,3,224,22.38,14.45,50.13,32.37
6208,64,400,112,6,560,86.04,16.36,481.82,91.62
834,16,512,112,3,224,53.31,15.74,119.41,35.26
3827,18,1000,112,3,224,90.96,19.58,203.75,43.86
41,10,256,112,4,336,16.68,13.45,56.04,45.19
13946,24,800,112,2,112,85.32,17.98,95.56,20.14
1336,13,800,112,3,224,68.92,17.35,154.38,38.86
25,15,128,112,5,448,9.33,13.42,41.8,60.12
646,14,600,112,3,224,76.15,16.58,170.58,37.14
770,8,800,112,2,112,53.96,15.84,60.44,17.74
115,18,128,112,6,560,4.03,14.31,22.57,80.14
442,10,600,112,4,336,26.48,14.05,88.97,47.21
87,19,256,112,5,448,43.61,14.91,195.37,66.8
3998,19,1000,112,8,784,42.42,16.55,332.57,129.75
1958,18,800,112,3,224,89.0,17.79,199.36,39.85
495,17,512,112,4,336,71.48,15.25,240.17,51.24
2914,48,400,112,6,560,76.8,15.59,430.08,87.3
2907,14,1000,112,3,224,80.96,19.48,181.35,43.64
1679,20,600,112,3,224,54.47,16.32,122.01,36.56
21,12,128,112,4,336,9.18,13.68,30.84,45.96
26,16,128,112,2,112,46.8,14.5,52.42,16.24
797,40,200,112,2,112,88.48,16.23,99.1,18.18
150,17,256,112,2,112,69.98,15.03,78.38,16.83
701,22,512,112,12,1232,30.89,14.56,380.56,179.38
16369,24,1200,112,6,560,52.14,19.28,291.98,107.97
136,30,200,112,12,1232,23.41,14.95,288.41,184.18
221,16,400,112,3,224,79.81,15.29,178.77,34.25
1996,10,1000,112,4,336,28.33,15.01,95.19,50.43
651,14,600,112,8,784,21.82,14.55,171.07,114.07
898,19,600,112,8,784,40.15,15.02,314.78,117.76
331,22,400,112,6,560,63.8,13.98,357.28,78.29
2467,12,1000,112,3,224,59.84,17.36,134.04,38.89
73,20,200,112,3,224,34.72,14.66,77.77,32.84
226,16,400,112,4,336,34.97,14.77,117.5,49.63
2906,14,1000,112,4,336,53.87,17.43,181.0,58.56
3611,17,1000,112,8,784,33.65,16.32,263.82,127.95
28,10,200,112,4,336,13.24,13.31,44.49,44.72
130,16,128,112,6,560,2.88,14.25,16.13,79.8
110,8,256,112,6,560,3.63,13.59,20.33,76.1
27,8,256,112,2,112,33.26,14.14,37.25,15.84
8361,22,1200,112,8,784,55.98,19.09,438.88,149.67
36,18,128,112,5,448,16.89,14.37,75.67,64.38
95,24,200,112,6,560,33.1,14.55,185.36,81.48
551,12,600,112,6,560,22.51,14.13,126.06,79.13
6451,50,600,112,12,1232,64.82,16.66,798.58,205.25
48,12,200,112,6,560,3.25,13.9,18.2,77.84
5881,16,1200,112,3,224,94.19,21.96,210.99,49.19
212,15,400,112,4,336,29.5,14.62,99.12,49.12
781,8,800,112,4,336,18.0,13.94,60.48,46.84
86,13,128,112,6,560,2.23,13.81,12.49,77.34
185,19,128,112,6,560,2.85,14.4,15.96,80.64
43,16,200,112,3,224,46.33,14.17,103.78,31.74
196,14,400,112,3,224,67.19,15.46,150.51,34.63
3371,16,1000,112,8,784,30.04,15.69,235.51,123.01
1531,8,1000,112,2,112,54.36,16.83,60.88,18.85
112,10,256,112,6,560,4.66,13.66,26.1,76.5
1026,10,800,112,6,560,16.88,14.01,94.53,78.46
30,17,128,112,4,336,16.09,13.92,54.06,46.77
223,15,400,112,5,448,22.2,14.63,99.46,65.54
4404,12,1200,112,8,784,17.31,14.87,135.71,116.58
741,16,600,112,3,224,88.07,16.43,197.28,36.8
401,24,400,112,12,1232,33.0,14.22,406.56,175.19
595,19,512,112,12,1232,23.75,14.12,292.6,173.96
