EXEC_TIME,MSIZE,BSIZE,CPUS_PER_NODE,NUM_NODES,NUM_CPUS,CPU_AVG,MEM_AVG,CPU_AVG_USED,MEM_AVG_USED
706,14,600,112,16,1680,9.95,14.09,167.16,236.71
1566,8,1000,112,8,784,7.68,14.7,60.21,115.25
4351,12,1200,112,5,448,30.46,16.29,136.46,72.98
441,10,600,112,6,560,16.5,13.76,92.4,77.06
41,15,200,112,3,224,42.42,14.58,95.02,32.66
1072,10,800,112,16,1680,5.6,13.94,94.08,234.19
341,22,400,112,8,784,46.51,14.8,364.64,116.03
4347,12,1200,112,6,560,24.37,16.33,136.47,91.45
2712,8,1200,112,8,784,7.89,14.89,61.86,116.74
265,10,512,112,2,112,77.59,16.42,86.9,18.39
11611,30,1200,112,12,1232,65.67,19.98,809.05,246.15
805,8,800,112,8,784,7.51,14.53,58.88,113.92
75,20,128,112,12,1232,5.64,14.11,69.48,173.84
1316,12,800,112,16,1680,7.82,14.2,131.38,238.56
183,12,400,112,6,560,18.09,14.32,101.3,80.19
25,8,200,112,4,336,11.53,13.25,38.74,44.52
345,12,512,112,4,336,35.8,14.34,120.29,48.18
4592,48,600,112,12,1232,79.93,17.23,984.74,212.27
42,19,128,112,2,112,49.96,15.44,55.96,17.29
29,17,128,112,2,112,43.5,14.48,48.72,16.22
124,19,256,112,3,224,58.99,14.74,132.14,33.02
16,12,128,112,3,224,13.08,13.73,29.3,30.76
131,20,256,112,4,336,45.45,14.89,152.71,50.03
5497,15,1200,112,5,448,47.47,18.3,212.67,81.98
552,12,600,112,4,336,11.11,14.02,37.33,47.11
487,20,400,112,3,224,49.09,15.47,109.96,34.65
431,32,200,112,2,112,83.38,15.26,93.39,17.09
91,15,256,112,3,224,40.89,15.31,91.59,34.29
37,14,200,112,4,336,17.37,14.27,58.36,47.95
11379,64,600,112,12,1232,76.14,17.19,938.04,211.78
200,36,200,112,6,560,52.18,14.76,292.21,82.66
80,17,256,112,5,448,34.35,13.92,153.89,62.36
370,13,512,112,5,448,31.09,14.37,139.28,64.38
162,12,400,112,3,224,41.2,14.82,92.29,33.2
9245,24,1000,112,6,560,51.81,18.4,290.14,103.04
80,22,128,112,12,1232,5.61,13.85,69.12,170.63
36,13,200,112,4,336,13.37,14.24,44.92,47.85
91,10,200,112,16,1680,2.46,13.75,41.33,231.0
231,16,400,112,5,448,43.57,14.72,195.19,65.95
26,17,128,112,3,224,31.77,14.34,71.16,32.12
1661,24,400,112,2,112,83.79,15.28,93.84,17.11
30,19,128,112,4,336,22.11,14.64,74.29,49.19
4667,36,600,112,6,560,72.76,16.46,407.46,92.18
70,15,256,112,5,448,26.8,14.11,120.06,63.21
543,12,600,112,3,224,17.04,14.42,38.17,32.3
31,16,128,112,5,448,12.48,14.09,55.91,63.12
3378,64,400,112,12,1232,71.34,16.13,878.91,198.72
41,20,128,112,2,112,54.34,15.05,60.86,16.86
36,10,256,112,2,112,50.56,14.4,56.63,16.13
1420,20,128,112,6,560,0.63,14.63,3.53,81.93
516,30,400,112,12,1232,50.02,15.4,616.25,189.73
1349,48,200,112,2,112,91.74,15.48,102.75,17.34
5057,14,1200,112,8,784,23.33,15.22,182.91,119.32
2931,14,1000,112,16,1680,10.81,14.48,181.61,243.26
42,13,200,112,5,448,15.93,13.78,71.37,61.73
3337,16,1000,112,5,448,53.0,17.32,237.44,77.59
11701,48,400,112,2,112,96.09,16.21,107.62,18.16
5156,24,1000,112,12,1232,42.44,17.02,522.86,209.69
460,16,512,112,4,336,63.62,14.94,213.76,50.2
