EXEC_TIME,MSIZE,BSIZE,CPUS_PER_NODE,NUM_NODES,NUM_CPUS,CPU_AVG,MEM_AVG,CPU_AVG_USED,MEM_AVG_USED,Linear Regression_FILTERED,Polynomial Regression_FILTERED,Random Forest_FILTERED,FFNN_FILTERED,XGBoost_FILTERED
106,8,400,112,4,336,13.89,13.49,46.67,45.33,304.2915177137331,67.88146697301218,117.276,69.12555847167968,100.18074
56,12,256,112,5,448,14.65,14.08,65.63,63.08,-0.2695274645001291,98.12990108840995,59.428,161.42881622314454,74.268875
4781,13,1200,112,16,1680,9.44,14.86,158.59,249.65,3453.1385759131344,4376.035149098198,4464.848,4617.69208984375,4781.925
15,8,128,112,3,224,8.02,12.86,17.96,28.81,-704.2683043435597,-155.10482889326147,19.066,26.52433853149414,9.6166
145,32,200,112,12,1232,25.92,14.76,319.33,181.84,945.4319106628523,257.70455090945455,179.622,29.878461231291293,126.27549
2081,19,800,112,8,784,41.08,15.67,322.07,122.85,2442.7190966801513,2060.7510855702367,2126.494,2123.7915771484377,2195.6042
271,10,512,112,4,336,25.63,14.28,86.12,47.98,851.42980383979,206.23867395170444,274.4281666666667,329.13567810058595,246.4401
66,18,128,112,12,1232,4.29,13.85,52.85,170.63,-206.3064407895463,316.9811602068134,76.929,73.70658950805664,68.83948
404,14,512,112,3,224,72.18,15.41,161.68,34.52,1117.7013619961838,603.1679917754785,432.442,516.4955932617188,465.17218
65,8,200,112,12,1232,1.52,13.88,18.73,171.0,-564.6928999257862,79.08034384352564,68.7846857142857,65.53514099121094,53.982983
1256,12,800,112,3,224,17.62,14.74,39.47,33.02,2075.186475549902,1132.1878423509884,1294.54,1229.5186279296875,1247.1584
265,10,512,112,3,224,38.89,14.57,87.11,32.64,866.013893564744,150.07920280005533,248.097,348.01368408203126,279.30072
56,22,128,112,2,112,55.63,14.81,62.31,16.59,191.22192489143345,327.6988209132055,116.268,-102.3414077758789,86.96853
246,14,400,112,8,784,16.1,14.24,126.22,111.64,623.4863614610767,270.239412674423,240.008,193.820157623291,225.11482
52,15,200,112,5,448,14.0,14.28,62.72,63.97,-22.151202096088696,38.18729359171067,53.896,45.52067461013794,39.500805
117,17,128,112,6,560,3.79,14.15,21.22,79.24,-181.7237695476822,-82.50141382075401,118.906,164.14208374023437,133.26376
1912,50,400,112,12,1232,60.67,15.87,747.45,195.52,2830.3372184442187,2810.2595405632374,1786.082,1753.3635009765626,1855.5182
127,19,256,112,12,1232,13.44,13.91,165.58,171.37,338.09491421584147,289.7055444354261,125.49266666666666,104.34757995605469,101.428375
2446,22,800,112,8,784,54.47,15.31,427.04,120.03,2631.484698003731,2678.1061662036827,2369.204,2382.757421875,2401.5962
346,8,600,112,6,560,10.52,13.04,58.91,73.02,1027.4350381037125,413.0774979443571,371.37,305.7584686279297,344.38675
818,15,600,112,8,784,25.25,14.49,197.96,113.6,1438.7199284088242,656.4153854352867,764.232,755.4496948242188,728.22156
166,8,400,112,16,1680,2.98,13.89,50.06,233.35,129.28244101428504,-156.95845613552717,207.216,237.69318389892578,154.87431
2017,10,1000,112,6,560,17.35,14.66,97.16,82.1,2657.902171999207,1793.0868386095467,1982.5909333333339,2086.6915283203125,1987.9402
2647,13,1000,112,3,224,70.05,18.74,156.91,41.98,2890.4200424976493,2658.0076078853963,2668.426,2643.587158203125,2692.139
126,8,400,112,8,784,5.53,13.98,43.36,109.6,245.95515881391708,434.0227278997481,134.294,161.5248260498047,134.44661
130,20,256,112,12,1232,14.59,14.24,179.75,175.44,401.0167813237014,294.3008279439862,128.53140476190475,128.93102569580077,119.74551
791,8,800,112,6,560,11.1,13.68,62.16,76.61,1779.7467379435998,738.7044586577304,851.4013333333334,805.38779296875,807.05286
1491,14,800,112,3,224,78.96,17.8,176.87,39.87,2201.0302097656213,1682.7086583510886,1473.164,1521.671484375,1475.9352
2035,20,512,112,2,112,85.79,16.27,96.08,18.22,1509.8166543682973,1907.884044075613,1830.65,2054.6879150390623,1975.4938
1651,15,800,112,8,784,26.12,14.94,204.78,117.13,2191.0316282487115,1467.3234863169077,1591.818,1609.09912109375,1636.8739
26,15,128,112,2,112,35.71,14.45,40.0,16.18,-249.2311448635861,99.02187477333553,52.384,15.97756118774414,37.97224
453,19,400,112,3,224,46.94,15.64,105.15,35.03,1011.0161456251465,880.3052165064917,421.616,366.1695556640625,434.54352
4711,13,1200,112,8,784,20.21,15.62,158.45,122.46,3569.8112937127667,4411.392851755475,4539.366,4740.47822265625,4720.039
5831,16,1200,112,5,448,53.72,18.56,240.67,83.15,3802.329164211208,6017.8097311853735,5593.508,5814.2453125,5836.4824
26,15,128,112,4,336,13.21,13.82,44.39,46.44,-278.39932431349416,-25.95018523458714,30.704,11.254245376586914,24.345676
38,12,200,112,4,336,17.8,13.36,59.81,44.89,-196.33271369471458,35.0039087271071,38.4445,31.196507072448732,33.982494
3540,10,1200,112,16,1680,5.76,14.23,96.77,239.06,3264.372974589555,4167.920472297133,3223.136,3567.471728515625,3535.1724
70,10,200,112,12,1232,3.5,13.32,43.12,164.1,-438.84916571006625,141.93740300055853,82.37128571428573,117.76845245361328,64.45095
293,19,400,112,8,784,35.04,14.44,274.71,113.21,938.0956970003765,254.99798743012985,297.258,289.2124755859375,249.92842
21,14,128,112,3,224,20.05,14.39,44.91,32.23,-326.73710169640003,1.7255572062293254,25.1,77.26696548461913,18.043722
656,14,600,112,5,448,38.28,14.93,171.49,66.89,1419.5503304758263,687.0427021858859,643.554,658.0024536132812,635.9476
2690,30,600,112,6,560,72.34,16.64,405.1,93.18,2411.7161144766314,3209.5359710718303,2946.644,2625.511767578125,3043.168
96,20,200,112,12,1232,10.45,13.8,128.74,170.02,190.36950536853305,308.0137020331039,104.01885714285712,80.74242851734161,90.03667
1066,20,512,112,4,336,54.86,15.8,184.33,53.09,1480.6484749183892,1258.0357882532721,981.9989523809525,881.1148071289062,979.1048
176,13,400,112,3,224,60.12,15.38,134.67,34.45,633.4849429779869,294.4109266040483,177.386,199.59109802246093,166.77287
1522,14,800,112,5,448,39.17,15.6,175.48,69.89,2171.8620303157136,1478.5523093391093,1498.042,1483.93564453125,1488.3994
30,20,128,112,3,224,37.11,14.16,83.13,31.72,50.79410095075957,77.73225394868629,58.25,-20.879178619384767,80.58323
509,16,512,112,12,1232,16.56,13.88,204.02,171.0,1112.2882886873176,475.4205938085251,515.336,445.8134826660156,530.0912
236,15,400,112,8,784,21.92,14.13,171.85,110.78,686.4082285689367,258.035446025981,234.742,214.1363311767578,245.77576
1316,12,800,112,8,784,16.41,14.76,128.65,115.72,2002.2660269251317,1192.0030128608362,1296.226,1336.976123046875,1281.9272
1360,36,400,112,6,560,68.68,16.15,384.61,90.44,2036.9356172839034,1830.2367428619727,1333.486,1276.8330322265624,1268.418
47,17,200,112,4,336,26.1,13.98,87.7,46.97,118.27662184458518,87.30687905882559,49.018,16.05861542224884,40.642113
15,8,128,112,4,336,5.71,13.2,19.19,44.35,-718.8523940685136,-85.56077062181294,19.944,5.293772506713867,15.690867
5629,15,1200,112,8,784,26.95,16.11,211.29,126.3,3695.6550279284866,5096.02689045735,5403.882,5547.3953125,5603.6655
60,14,256,112,4,336,31.07,14.18,104.4,47.64,140.15829647617375,120.90956686761251,57.974,60.54469814300537,67.04729
1556,8,1000,112,6,560,11.02,13.91,61.71,77.9,2532.0584377834875,1442.5033402306085,1583.0103666666669,1633.473388671875,1557.8643
11,8,128,112,2,112,15.1,13.94,16.91,15.61,-689.6842146186057,-224.0132451743999,14.066,19.432810974121093,-17.452663
81,18,256,112,4,336,50.22,14.93,168.74,50.16,391.8457649076136,212.28638235791985,85.262,44.53659439086914,81.481544
3573,17,1000,112,3,224,76.66,18.89,171.72,42.31,3142.107510929089,4526.317895938831,3506.014,3633.24228515625,3540.2175
1671,22,128,112,6,560,1.08,14.96,6.05,83.78,132.88556599161745,-248.49411792473336,1258.678,763.8465454101563,1116.4117
806,17,600,112,4,336,48.33,15.47,162.39,51.98,1622.90002152436,1204.3020858400325,787.648,761.2129150390625,811.7692
41,10,256,112,3,224,22.95,13.77,51.41,30.84,-96.94508223031187,5.686315410502118,40.432,29.773753356933593,38.746582
517,64,200,112,12,1232,54.15,15.09,667.13,185.91,2958.9316581143707,-290.1479771713547,578.39,613.7649047851562,576.42346
248,17,400,112,4,336,67.44,15.38,226.6,51.68,870.5883216844726,505.7298113346165,238.636,208.93623962402344,238.8793
26,13,128,112,5,448,6.68,13.91,29.93,62.32,-418.8271482541679,-21.736300402578593,31.74,18.080514430999756,27.63967
1397,13,800,112,8,784,19.33,14.71,151.55,115.33,2065.1878940329916,1267.75462469303,1372.07,1405.317822265625,1382.7256
231,20,256,112,2,112,76.38,15.73,85.55,17.62,546.8576785732414,702.928927073652,243.142,346.1322875976563,208.40291
971,36,400,112,12,1232,44.83,15.91,552.31,196.01,1949.4310789341794,1106.984013978271,925.152,979.024169921875,890.71985
172,12,400,112,4,336,33.39,13.94,112.19,46.84,555.9789861451729,209.47631115913003,171.8505,181.16436614990235,167.055
741,16,600,112,4,336,40.43,15.37,135.84,51.64,1559.9781544165,1041.555203066442,719.386,625.1864868164063,751.87256
6301,30,800,112,6,560,74.58,17.56,417.65,98.34,3164.0278143165187,6190.27325157379,5376.126,6537.22685546875,6118.844
4671,22,1000,112,6,560,78.97,18.99,442.23,106.34,3412.9645772935264,5772.684139484893,4614.921666666666,5892.996875,4899.786
95,24,200,112,5,448,40.11,15.21,179.69,68.14,544.1456018746509,-27.116226806530335,239.316,42.6875205039978,21.134153
30,18,128,112,2,112,48.08,15.65,53.85,17.53,-60.46554354000625,207.1322536696171,49.25,79.12453231811523,56.517773
120,18,256,112,12,1232,12.22,13.61,150.55,167.68,275.1730471079816,284.7278687815618,117.961,129.2930877685547,138.06302
346,12,256,112,6,560,2.57,13.87,14.39,77.67,-14.853617189454098,124.5547089164294,240.09166666666667,189.3393112182617,132.20097
116,18,256,112,3,224,55.18,14.91,123.6,33.4,406.4298546325676,352.4235937877229,109.5,97.80483169555664,103.181984
76,17,256,112,4,336,45.52,13.96,152.95,46.91,328.92389779975366,187.3411320683906,76.814,56.33146736621857,86.28267
366,30,200,112,2,112,79.95,15.29,89.54,17.12,965.4290736966725,1123.1376598607587,795.358,111.22190551757812,488.02686
75,19,128,112,12,1232,3.79,13.8,46.69,170.02,-143.38457368168645,334.1587670528743,90.22566666666667,64.68129653930664,53.60808
4393,12,1200,112,4,336,40.27,17.12,135.31,57.52,3565.225785504723,4028.020199168104,4342.788,4425.7583984375,4377.008
245,13,400,112,16,1680,7.32,13.97,122.98,234.7,443.8917765535848,162.23277705116982,283.98,316.133837890625,248.57712
651,13,512,112,2,112,70.61,16.27,79.08,18.22,1069.363584613278,551.5454115078808,627.388,600.75380859375,669.89087
206,8,512,112,4,336,16.36,13.34,54.97,44.82,725.5860696240701,98.87488596010212,231.4346666666667,204.09179229736327,170.95316
96,8,400,112,2,112,42.41,14.18,47.5,15.88,333.4596971636411,-142.87363908490676,261.992,86.27687454223633,119.03825
111,17,256,112,3,224,49.55,14.89,110.99,33.35,343.50798752470763,303.65230610345213,105.798,83.07563247680665,106.96218
86,22,200,112,8,784,21.82,14.39,171.07,112.82,374.5495984840689,-121.50455413806111,153.248,340.1426147460937,80.043434
70,16,256,112,4,336,40.6,13.82,136.42,46.44,266.0020306918937,163.8448490132015,69.794,71.4243377685547,78.96179
4426,22,800,112,4,336,68.72,17.75,230.9,59.64,2689.8210569035473,4072.618882875999,3755.3522666666668,4719.22958984375,3987.9087
4973,36,400,112,2,112,93.79,16.41,105.04,18.38,2095.2719761837197,4684.861687792245,4506.072,5394.36640625,5102.3613
76,16,256,112,5,448,28.81,14.49,129.07,64.92,251.41794096693968,106.23820796907648,73.132,52.49110879898071,80.31416
61,14,200,112,8,784,8.7,13.98,68.21,109.6,-128.82533837881067,103.950813045796,87.498,45.97541341781616,67.1602
4343,12,1200,112,3,224,60.58,18.8,135.7,42.11,3579.809875229677,4060.9538348961814,4215.316,4398.720703125,4330.396
247,16,400,112,8,784,24.6,14.24,192.86,111.64,749.3300956767966,250.33691574277287,253.236,239.4121856689453,254.39462
31,18,128,112,3,224,27.22,14.14,60.97,31.67,-75.04963326496022,60.41170583565571,36.19,62.784908866882326,24.494236
1540,14,800,112,16,1680,10.48,14.25,176.06,239.4,2011.4370433412196,1202.3694159056404,1460.556,1590.184423828125,1534.7129
16,13,128,112,3,224,17.26,13.73,38.66,30.76,-389.65896880426,-18.37772507008225,20.998,77.15615005493164,16.925243
71,12,256,112,2,112,51.15,15.14,57.29,16.96,43.48274171036189,105.70750465894258,71.932,47.39975280761719,68.99556
1206,16,512,112,2,112,74.51,16.43,83.45,18.4,1258.1291859368575,1076.7784295262845,1129.714,1104.97861328125,1174.8359
5502,15,1200,112,3,224,52.59,18.62,117.8,41.71,3768.5754765532565,5899.558189202725,5370.498,5605.00869140625,5556.5317
