EXEC_TIME,MSIZE,BSIZE,CPUS_PER_NODE,NUM_NODES,NUM_CPUS,CPU_AVG,MEM_AVG,CPU_AVG_USED,MEM_AVG_USED,Linear Regression_ORIGINAL,Polynomial Regression_ORIGINAL,Random Forest_ORIGINAL,FFNN_ORIGINAL,XGBoost_ORIGINAL
221,19,256,112,2,112,68.74,15.85,76.99,17.75,557.5999148191872,545.9086835992426,208.876,109.82967987060547,248.16788
5107,14,1200,112,3,224,81.58,21.39,182.74,47.91,4375.838527526969,5607.874732915462,4945.79,5141.11328125,5093.5693
76,17,200,112,8,784,12.72,14.04,99.72,110.07,17.773155375971328,75.877551949404,108.04,128.90118865966798,80.06117
1192,22,512,112,4,336,65.49,16.01,220.05,53.79,2029.3269433655867,1428.0807058566202,1175.9165333333337,1316.8891357421876,1225.3629
2516,12,1000,112,16,1680,7.98,14.35,134.06,241.08,3088.0874855053007,2372.0535616177226,2579.406,2520.853857421875,2547.401
66,15,256,112,4,336,37.65,14.21,126.5,47.75,114.10460351427491,72.99283916970649,66.92,28.77838592529297,72.15643
29,18,128,112,4,336,19.63,14.4,65.96,48.38,-161.66449390918297,-41.523978567863196,34.698,61.41520385742187,16.119595
151,22,256,112,4,336,52.23,14.99,175.49,50.37,848.3960662089496,246.99279217868906,145.674,153.0231620788574,200.75073
110,17,256,112,12,1232,10.67,13.81,131.45,170.14,228.30140522378883,342.01468200737344,116.628,79.37343456745148,122.08089
1392,13,800,112,5,448,34.31,15.2,153.71,68.1,2401.8350618196723,1256.8098733266856,1373.488,1479.2662353515625,1361.4473
791,17,600,112,3,224,72.12,16.15,161.55,36.18,1922.728125345962,1383.0548968183032,824.836,919.52255859375,832.5936
4071,18,1000,112,8,784,35.33,15.86,276.99,124.34,3813.0809268754147,3786.0640160742714,3962.27,3835.53798828125,3952.6387
10482,48,800,112,12,1232,83.67,18.63,1030.81,229.52,5989.641711115202,11959.188730404694,10703.76,12552.110546875,10789.737
952,18,512,112,3,224,67.19,15.95,150.51,35.73,1621.6819167083218,1114.7352232827466,926.134,854.42109375,766.38556
715,14,512,112,2,112,81.77,15.25,91.58,17.08,1214.0368900510566,743.5311684298231,700.532,796.5085327148438,795.53546
2761,22,512,112,2,112,84.47,16.82,94.61,18.84,2053.227133130685,2344.620551039235,2387.0753333333337,2681.995947265625,2607.8728
1582,19,600,112,3,224,48.57,16.16,108.8,36.2,2132.525686115869,1815.4679045177345,1426.908,1580.9931884765624,1502.0515
6820,32,800,112,6,560,84.23,17.54,471.69,98.22,4382.9617942512405,7543.821824618475,6818.228,7606.602734375,6916.7095
1278,12,800,112,4,336,11.55,14.43,38.81,48.48,2308.8863763172676,1116.6814616352958,1305.9635,1194.7338623046876,1266.6309
38,14,200,112,3,224,41.64,14.61,93.27,32.73,-237.17271136614363,29.424393125190477,39.579,15.27714033126831,33.85827
3341,16,1000,112,4,336,42.67,16.85,143.37,56.62,3651.083745635704,3990.644539103185,3352.432,3407.8521484375,3367.7415
30,12,128,112,5,448,5.98,13.75,26.79,61.6,-803.0072711014534,-66.57538581991855,31.756,69.00443649291992,22.676798
3520,10,1200,112,8,784,12.23,15.19,95.88,119.09,3896.4929315744093,3114.3246926240863,3322.7233333333334,3597.86728515625,3486.5813
850,18,600,112,8,784,35.93,14.82,281.69,116.19,1967.87643131817,707.5718141878793,851.098,972.8498168945313,826.7142
46,14,200,112,5,448,24.96,12.97,111.82,58.11,-261.0729011312419,3.730592667369365,47.781,63.01615447998047,42.10761
140,22,256,112,12,1232,17.57,14.07,216.46,173.34,752.7953071485566,402.4525359945724,147.93166666666667,69.16917991638184,100.33779
757,16,600,112,8,784,28.47,14.59,223.2,114.39,1758.0788705482628,631.6287874178151,762.474,861.3860473632812,759.83875
140,32,200,112,6,560,52.4,15.23,293.44,85.29,1615.1550509153728,-130.89170186700198,278.146,131.39191589355468,120.02462
1681,22,512,112,3,224,69.43,16.51,155.52,36.98,2041.2770382481358,1838.8577422134606,1513.7284000000002,1597.96455078125,1514.4172
1005,19,512,112,3,224,73.39,16.04,164.39,35.93,1726.5806970932751,1277.8939115519402,1072.38,1075.2853881835938,1063.4777
1721,16,800,112,5,448,51.58,16.23,231.08,72.71,2716.531402974533,1903.6047733059709,1707.578,1721.9880615234374,1725.5068
556,12,600,112,8,784,16.06,14.17,125.91,111.09,1338.4837490084487,643.285739089479,558.29,557.5354125976562,582.78754
79,13,256,112,2,112,55.17,15.01,61.79,16.81,-71.79276749053383,138.55267248370308,78.108,83.25153007507325,71.286705
971,19,512,112,4,336,51.2,15.72,172.03,52.82,1714.630602210726,984.2869020114508,866.3766666666667,725.4246459960938,903.85266
2917,14,1000,112,5,448,23.72,15.39,106.27,68.95,3429.336089983248,2856.655071567686,2925.724,2817.63935546875,2890.0425
40,20,128,112,5,448,17.62,13.32,78.94,59.67,36.18297197817492,-75.924252345235,69.004,182.6116149902344,70.19838
73,18,200,112,8,784,16.72,14.0,131.08,109.76,122.67193576092495,55.74224768936199,99.572,116.89176483154297,74.59261
16,12,128,112,2,112,26.32,14.31,29.48,16.03,-767.1569864538062,-107.34910420243432,23.97,64.21991424560547,14.4642
8371,40,800,112,12,1232,60.04,17.7,739.69,218.06,5150.451468035574,7749.100993662168,8361.742,8754.684765625,9054.825
76,10,200,112,12,1232,3.41,13.34,42.01,164.35,-764.3186868488999,174.5559471812433,77.60668571428572,-15.820881462097168,62.91046
1513,14,800,112,8,784,22.27,14.71,174.6,115.33,2470.8835575569783,1314.2010877619118,1479.25,1564.4769287109375,1473.3113
203,14,400,112,5,448,34.1,13.5,152.77,60.48,661.5293466473804,224.83382428483173,203.342,270.10438842773436,192.88713
426,15,512,112,4,336,57.28,15.15,192.46,50.9,1295.035480670912,556.5792244020352,449.258,444.952490234375,505.13727
2511,12,1000,112,8,784,17.05,14.44,133.67,113.21,3183.688244565694,2162.8236155456907,2512.63,2479.9015625,2511.107
11,10,128,112,2,112,27.45,13.41,30.74,15.02,-976.954547223713,-197.94744349063808,16.782,67.1090235710144,-9.212045
355,13,512,112,3,224,64.24,15.18,143.9,34.0,1097.188014783554,482.8567436491435,373.482,403.9924255371094,405.19604
590,20,512,112,5,448,73.71,15.91,330.22,71.28,1807.5792877131305,864.4850910955658,621.156,604.1139526367188,690.6084
3108,15,1000,112,3,224,94.01,20.28,210.58,45.43,3558.1350601332997,3809.2628997281017,3142.512,3028.42060546875,3130.1472
258,18,400,112,3,224,76.66,15.37,171.72,34.43,1105.024657952293,657.4114619924145,272.258,345.1545837402344,279.59488
13232,32,1000,112,6,560,85.87,19.6,480.87,109.76,5305.564042029862,13054.94372076524,11816.564,13944.652734375,12872.714
141,10,400,112,6,560,14.82,13.5,82.99,75.6,229.98413022501722,349.18046794925067,141.65700000000004,227.14745025634767,168.61206
4641,13,1200,112,3,224,70.91,20.45,158.84,45.81,4270.939747142016,4849.974808218226,4486.484,4660.6826171875,4654.2197
2915,32,600,112,6,560,81.89,17.19,458.58,96.26,3460.3595464726177,3642.414210321951,3163.31,2869.402978515625,3105.2327
25,14,128,112,4,336,12.71,13.13,42.71,44.12,-581.2596154489972,-84.36272200384451,27.934,-26.077864551544188,22.71603
